0,2.97
8.246,11.568
12.672,18.308
19.584,20.783
24.249,25.772
27.041,28.343
29.842,38.825
39.563,42.271
43.871,45.808
51.73,52.292
53.91,54.582
55.515,56.191
57.224,58.104
61.751,63.955
64.626,67.112
67.894,68.149
68.946,71.133
72.452,74.932
76.474,78.845
82.939,84.572
85.695,86.966
90.332,93.626
95.12,96.487
99.509,104.811
105.46,106.026
108.273,108.83
110.387,111.015
117.875,118.817
120.217,123.492
124.349,129.642
130.694,132.76
135.064,157.428
159.051,161.412
162.26,162.955
166.044,167.682
168.886,169.833
