1.0,0.0,666.9,220.5,2801.2
1.0,0.5,128.0,196.2,2267.8
1.0,1.0,97.6,370.4,1554.0
1.0,1.5,75.3,544.6,479.7
1.0,2.0,134.7,520.4,864.6
1.0,2.5,213.7,293.3,4957.7
0.0,3.0,4.0,253.6,454.8
0.0,3.5,2.4,242.6,623.5
0.0,4.0,2.0,295.5,528.4
0.0,4.5,1.5,308.7,219.8
0.0,5.0,0.8,308.7,538.5
0.0,5.5,2.7,273.4,249.4
0.0,6.0,1.0,158.8,871.3
0.0,6.5,0.6,185.2,768.8
0.0,7.0,0.9,187.4,341.0
0.0,7.5,1.6,273.4,215.7
1.0,8.0,65.8,231.5,1309.7
1.0,8.5,444.6,352.8,3378.6
1.0,9.0,78.4,381.5,1966.1
1.0,9.5,74.3,196.2,2416.4
1.0,10.0,196.3,207.3,2059.7
1.0,10.5,160.4,681.3,2063.8
1.0,11.0,115.8,524.8,1109.1
0.0,11.5,2.6,174.2,916.1
0.0,12.0,2.6,183.0,394.3
1.0,12.5,413.7,191.8,1907.0
1.0,13.0,98.1,513.8,2905.9
1.0,13.5,262.9,416.7,2931.0
1.0,14.0,449.7,202.9,3476.3
1.0,14.5,834.0,465.3,2284.4
1.0,15.0,394.8,196.2,2271.7
1.0,15.5,208.9,705.6,1335.6
1.0,16.0,527.1,756.3,3266.6
1.0,16.5,213.5,396.9,8164.4
1.0,17.0,455.0,579.9,1710.2
0.0,17.5,17.2,178.6,4592.2
0.0,18.0,15.5,478.5,415.0
0.0,18.5,1.0,308.7,206.6
0.0,19.0,1.5,178.6,168.8
1.0,19.5,298.8,191.8,4902.5
1.0,20.0,117.5,191.8,2020.9
0.0,20.5,2.4,6862.0,1681.4
0.0,21.0,2.4,280.0,599.7
0.0,21.5,0.6,478.5,265.2
0.0,22.0,2.0,273.4,480.4
0.0,22.5,2.1,478.5,809.1
0.0,23.0,1.4,220.5,998.7
0.0,23.5,0.5,213.9,171.0
1.0,24.0,488.0,560.1,2812.2
1.0,24.5,235.9,330.8,6520.1
1.0,25.0,103.3,169.8,2476.7
1.0,25.5,103.2,231.5,1668.7
0.0,26.0,17.2,222.7,698.4
0.0,26.5,2.2,222.7,669.9
1.0,27.0,205.8,262.4,3335.9
1.0,27.5,378.2,299.9,2890.5
0.0,28.0,10.1,291.1,779.0
0.0,28.5,6.3,187.4,3573.0
0.0,29.0,3.1,1717.7,653.9
1.0,29.5,669.6,549.0,4899.3
1.0,30.0,891.7,482.9,2040.0
1.0,30.5,540.2,469.7,4143.3
1.0,31.0,578.5,414.5,1729.0
1.0,31.5,678.6,478.5,8794.4
1.0,32.0,125.1,500.5,634.2
1.0,32.5,224.5,540.2,896.3
0.0,33.0,428.7,1146.6,2928.2
1.0,33.5,324.4,213.9,8415.8
1.0,34.0,85.3,180.8,881.5
1.0,34.5,156.9,560.1,2698.6
